lon,lat,de,dn,du
171.55,-44.25,0.0,0.0,0.0
171.7,-44.25,0.0,0.0,0.0
171.85,-44.25,0.0,0.0,0.0
172,-44.25,0.0,0.0,0.0
172.15,-44.25,0.0,0.0,0.0
172.3,-44.25,0.0,0.0,0.0
172.45,-44.25,0.0,0.0,0.0
172.6,-44.25,0.0,0.0,0.0
172.75,-44.25,0.0,0.0,0.0
172.9,-44.25,0.0,0.0,0.0
173.05,-44.25,0.0,0.0,0.0
173.2,-44.25,0.0,0.0,0.0
173.35,-44.25,0.0,0.0,0.0
173.5,-44.25,0.0,0.0,0.0
173.65,-44.25,0.0,0.0,0.0
171.55,-44.125,0.0,0.0,0.0
171.7,-44.125,0.00002,-0.00006,-0.00002
171.85,-44.125,0.00002,-0.00012,-0.00004
172,-44.125,0.00000,-0.00020,-0.00006
172.15,-44.125,-0.00008,-0.00030,-0.00010
172.3,-44.125,-0.00018,-0.00044,-0.00016
172.45,-44.125,-0.00026,-0.00060,-0.00022
172.6,-44.125,-0.00030,-0.00066,-0.00024
172.75,-44.125,-0.00030,-0.00054,-0.00020
172.9,-44.125,-0.00034,-0.00030,-0.00010
173.05,-44.125,-0.00038,-0.00002,-0.00002
173.2,-44.125,-0.00042,0.00014,0.00004
173.35,-44.125,-0.00036,0.00018,0.00006
173.5,-44.125,-0.00020,0.00012,0.00004
173.65,-44.125,0.0,0.0,0.0
171.55,-44,0.0,0.0,0.0
171.7,-44,0.00004,-0.00010,-0.00002
171.85,-44,0.00008,-0.00022,-0.00004
172,-44,0.00002,-0.00036,-0.00010
172.15,-44,-0.00010,-0.00058,-0.00020
172.3,-44,-0.00034,-0.00088,-0.00034
172.45,-44,-0.00058,-0.00130,-0.00050
172.6,-44,-0.00060,-0.00146,-0.00054
172.75,-44,-0.00054,-0.00124,-0.00044
172.9,-44,-0.00066,-0.00060,-0.00022
173.05,-44,-0.00080,0.00006,0.00000
173.2,-44,-0.00090,0.00042,0.00012
173.35,-44,-0.00082,0.00046,0.00016
173.5,-44,-0.00046,0.00026,0.00010
173.65,-44,0.0,0.0,0.0
171.55,-43.875,0.0,0.0,0.0
171.7,-43.875,0.00012,-0.00014,-0.00002
171.85,-43.875,0.00018,-0.00028,-0.00004
172,-43.875,0.00016,-0.00046,-0.00010
172.15,-43.875,-0.00004,-0.00074,-0.00024
172.3,-43.875,-0.00054,-0.00120,-0.00048
172.45,-43.875,-0.00092,-0.00194,-0.00068
172.6,-43.875,-0.00110,-0.00264,-0.00082
172.75,-43.875,-0.00094,-0.00240,-0.00068
172.9,-43.875,-0.00092,-0.00094,-0.00030
173.05,-43.875,-0.00128,0.00046,0.00008
173.2,-43.875,-0.00158,0.00100,0.00030
173.35,-43.875,-0.00158,0.00100,0.00036
173.5,-43.875,-0.00082,0.00048,0.00018
173.65,-43.875,0.0,0.0,0.0
171.55,-43.75,0.0,0.0,0.0
