lon,lat,de,dn,du
173.95,-43.25,-0.000149226604,-0.000542515518,-7.4474164e-05
174.1,-43.25,-0.000164824686,-0.000559635358,-6.2544156e-05
174.25,-43.25,-0.000176097876,-0.000556423124,-4.9794554e-05
174.4,-43.25,-0.000178406872,-0.000523510854,-3.6911178e-05
174.55,-43.25,-0.000164001548,-0.000447688072,-2.4554374e-05
174.7,-43.25,-0.0001174147,-0.000300555698,-1.284242e-05
174.85,-43.25,0,0,0
175,-43.25,0,0,0
175.15,-43.25,0,0,0
175.3,-43.25,0,0,0
175.45,-43.25,0,0,0
175.6,-43.25,0,0,0
175.75,-43.25,0,0,0
175.9,-43.25,0,0,0
176.05,-43.25,0,0,0
176.2,-43.25,0,0,0
176.35,-43.25,0,0,0
176.5,-43.25,0,0,0
171.55,-43.125,0,0,0
171.7,-43.125,0,0,0
171.85,-43.125,0,0,0
172,-43.125,4.6453036e-05,-4.481774e-05,-2.22606e-07
172.15,-43.125,7.1796074e-05,-8.1872848e-05,-3.201448e-06
172.3,-43.125,8.392714e-05,-0.000121074148,-9.419072e-06
172.45,-43.125,8.4069198e-05,-0.00016766256,-1.969102e-05
172.6,-43.125,7.151007e-05,-0.000226019334,-3.5023138e-05
172.75,-43.125,4.5056848e-05,-0.000300802408,-5.658033e-05
172.9,-43.125,3.934432e-06,-0.000397239578,-8.5583512e-05
173.05,-43.125,-5.0954422e-05,-0.00052043547,-0.000122841108
173.2,-43.125,-0.000114614948,-0.00067143688,-0.00016697629
173.35,-43.125,-0.000173480502,-0.000831083064,-0.000208113926
173.5,-43.125,-0.000202354658,-0.000898108598,-0.000206036122
173.65,-43.125,-0.000231098896,-0.000961518444,-0.000191030388
173.8,-43.125,-0.00026415573,-0.001031707604,-0.000172010298
173.95,-43.125,-0.00029976213,-0.001096849822,-0.000150268966
174.1,-43.125,-0.000333974262,-0.00113960279,-0.000125907904
174.25,-43.125,-0.000361159946,-0.001142546286,-9.9722882e-05
174.4,-43.125,-0.000373528066,-0.001089932216,-7.3295784e-05
174.55,-43.125,-0.000360184622,-0.000966685734,-4.8463898e-05
174.7,-43.125,-0.000305657254,-0.000754534722,-2.6815308e-05
174.85,-43.125,-0.000189438892,-0.000430065288,-9.67555e-06
175,-43.125,0,0,0
175.15,-43.125,0,0,0
175.3,-43.125,0,0,0
175.45,-43.125,0,0,0
175.6,-43.125,0,0,0
175.75,-43.125,0,0,0
175.9,-43.125,0,0,0
176.05,-43.125,0,0,0
176.2,-43.125,0,0,0
176.35,-43.125,0,0,0
176.5,-43.125,0,0,0
171.55,-43,0,0,0
171.7,-43,2.6769116e-05,-1.6340974e-05,2.0674e-06
171.85,-43,5.5740368e-05,-3.7892872e-05,3.383966e-06
172,-43,9.4253164e-05,-7.5833818e-05,2.966026e-06
172.15,-43,0.000124205538,-0.000120160056,-7.66732e-07
172.3,-43,0.000141007932,-0.00017244055,-9.050722e-06
172.45,-43,0.000142023876,-0.00023678781,-2.320593e-05
172.6,-43,0.000124555976,-0.000318519754,-4.4781572e-05
172.75,-43,8.567563e-05,-0.000424368566,-7.5695224e-05
172.9,-43,2.2621368e-05,-0.000563286834,-0.000118454778
173.05,-43,-6.6151218e-05,-0.000748152758,-0.000176576272
173.2,-43,-0.000178021542,-0.00099944741,-0.00025533564
173.35,-43,-0.00029454,-0.00135201,-0.00036219
173.5,-43,-0.000304673448,-0.001354590432,-0.000325715396
173.65,-43,-0.000341989132,-0.001436173128,-0.000292225462
173.8,-43,-0.00039344229,-0.00155488526,-0.000261658304
173.95,-43,-0.000451691922,-0.001673573372,-0.000228683494
174.1,-43,-0.00051015029,-0.001759379696,-0.000191095616
174.25,-43,-0.00056103958,-0.001784227014,-0.000149893282
174.4,-43,-0.00059436082,-0.001726985992,-0.000108085178
174.55,-43,-0.00059755162,-0.001574587926,-6.9190128e-05
174.7,-43,-0.000555590798,-0.001320832168,-3.6279362e-05
174.85,-43,-0.000452098316,-0.000965726426,-1.1886892e-05
175,-43,-0.000272416766,-0.000520722064,1.268172e-06
175.15,-43,0,0,0
175.3,-43,0,0,0
175.45,-43,0,0,0
175.6,-43,0,0,0
175.75,-43,0,0,0
175.9,-43,0,0,0
176.05,-43,0,0,0
176.2,-43,0,0,0
176.35,-43,0,0,0
176.5,-43,0,0,0
171.55,-42.875,0,0,0
171.7,-42.875,5.13361e-05,-2.747102e-05,4.885636e-06
171.85,-42.875,0.00010193919,-5.9396698e-05,8.502436e-06
172,-42.875,0.000150613718,-0.000100464602,9.469476e-06
172.15,-42.875,0.000189764982,-0.00015049301,6.21922e-06
172.3,-42.875,0.000213875172,-0.000211740182,-2.811158e-06
172.45,-42.875,0.000218462404,-0.000288528374,-1.9300408e-05
172.6,-42.875,0.000199014326,-0.000386903308,-4.5201998e-05
172.75,-42.875,0.000150468326,-0.00051486527,-8.2964214e-05
172.9,-42.875,6.7026628e-05,-0.000683386432,-0.000135964108
173.05,-42.875,-5.8250276e-05,-0.000909441322,-0.000209673562
173.2,-42.875,-0.00023678,-0.00122619,-0.0003156
173.35,-42.875,-0.00031546,-0.00146989,-0.00037884
173.5,-42.875,-0.00037981,-0.00173207,-0.00044241
173.65,-42.875,-0.000438741892,-0.001873698376,-0.00039049776
173.8,-42.875,-0.000515932376,-0.002078086932,-0.000353713964
173.95,-42.875,-0.000603412978,-0.00228317871,-0.00031171109
174.1,-42.875,-0.000693895394,-0.00244011561,-0.000259897786
174.25,-42.875,-0.000778487266,-0.002507996078,-0.000200669452
174.4,-42.875,-0.000845324016,-0.002459196814,-0.000139961518
174.55,-42.875,-0.000880070236,-0.00228384781,-8.3932074e-05
174.7,-42.875,-0.000867056006,-0.001988479598,-3.722512e-05
174.85,-42.875,-0.00079094681,-0.001591286188,-2.860826e-06
175,-42.875,-0.00063756875,-0.001117161826,1.695958e-05
175.15,-42.875,-0.000388743092,-0.000587824428,1.9714884e-05
175.3,-42.875,0,0,0
175.45,-42.875,0,0,0
175.6,-42.875,0,0,0
175.75,-42.875,0,0,0
175.9,-42.875,0,0,0
176.05,-42.875,0,0,0
176.2,-42.875,0,0,0
176.35,-42.875,0,0,0
176.5,-42.875,0,0,0
171.55,-42.75,0,0,0
171.7,-42.75,7.6636092e-05,-3.414641e-05,8.97271e-06
171.85,-42.75,0.000150066572,-7.1758296e-05,1.6270664e-05
172,-42.75,0.000216497536,-0.000116134884,2.0190224e-05
172.15,-42.75,0.000270365498,-0.000169607196,1.8985294e-05
172.3,-42.75,0.000306265368,-0.000235498796,1.088728e-05
172.45,-42.75,0.00031893624,-0.000318682198,-5.982544e-06
172.6,-42.75,0.000302570598,-0.000425699836,-3.3761796e-05
172.75,-42.75,0.00025015672,-0.000564802768,-7.4995524e-05
172.9,-42.75,0.000153267096,-0.000745952306,-0.000132763882
173.05,-42.75,2.903484e-06,-0.000980036096,-0.000210553864
173.2,-42.75,-0.00020673,-0.00127392,-0.00031074
173.35,-42.75,-0.00032059,-0.00157754,-0.00038786
173.5,-42.75,-0.00042267,-0.00192044,-0.00046812
173.65,-42.75,-0.000517236058,-0.00224846344,-0.000473641616
173.8,-42.75,-0.000628132344,-0.002600585388,-0.0004509887
173.95,-42.75,-0.000752132222,-0.002940938922,-0.00040454912
174.1,-42.75,-0.000883531044,-0.00320990796,-0.000336114984
174.25,-42.75,-0.001013690074,-0.003348444876,-0.000252925226
174.4,-42.75,-0.001128377738,-0.003317957374,-0.000167159364
174.55,-42.75,-0.001210349306,-0.003113126904,-8.9351532e-05
174.7,-42.75,-0.001241616178,-0.002757952228,-2.582822e-05
174.85,-42.75,-0.001207064164,-0.002293776898,2.0709126e-05
175,-42.75,-0.001098168334,-0.001768814626,4.9716088e-05
175.15,-42.75,-0.000917403618,-0.001234135888,6.1899956e-05
175.3,-42.75,-0.000693746498,-0.000756608002,6.0083274e-05
175.45,-42.75,-0.00055868321,-0.000495491016,5.6291664e-05
175.6,-42.75,-0.000435131604,-0.000321532478,4.8228952e-05
175.75,-42.75,-0.00027871058,-0.000177732638,3.2860112e-05
175.9,-42.75,0,0,0
176.05,-42.75,0,0,0
176.2,-42.75,0,0,0
176.35,-42.75,0,0,0
176.5,-42.75,0,0,0
171.55,-42.625,0,0,0
171.7,-42.625,0.000105141696,-3.7356326e-05,1.4734534e-05
171.85,-42.625,0.000205193472,-7.7355194e-05,2.741729e-05
172,-42.625,0.000294944356,-0.000122709442,3.603546e-05
172.15,-42.625,0.000368934104,-0.000176302096,3.8644452e-05
172.3,-42.625,0.000421884566,-0.000241965608,3.3357532e-05
172.45,-42.625,0.000448446586,-0.000325001784,1.8244744e-05
172.6,-42.625,0.00044217511,-0.000432411072,-8.867116e-06
172.75,-42.625,0.000394320856,-0.000572693664,-5.0492204e-05
172.9,-42.625,0.00029298155,-0.000755583928,-0.00010954203
173.05,-42.625,0.000123327118,-0.000990830756,-0.000189038016
173.2,-42.625,-0.00012931,-0.00128495,-0.00029109
173.35,-42.625,-0.00029005,-0.00165606,-0.00038361
