lon,lat,de,dn,du
166.225,-45.875,-0.00172,-0.00478,-0.00314
166.2625,-45.875,-0.00192,-0.00500,-0.00324
166.3,-45.875,-0.00212,-0.00522,-0.00334
166.3375,-45.875,-0.00224,-0.00526,-0.00344
166.375,-45.875,-0.00238,-0.00528,-0.00354
166.4125,-45.875,-0.00250,-0.00530,-0.00364
166.45,-45.875,-0.00262,-0.00534,-0.00374
166.4875,-45.875,-0.00266,-0.00498,-0.00384
166.525,-45.875,-0.00270,-0.00462,-0.00396
166.5625,-45.875,-0.00276,-0.00424,-0.00408
166.6,-45.875,-0.00280,-0.00388,-0.00418
166.6375,-45.875,-0.00288,-0.00296,-0.00430
166.675,-45.875,-0.00294,-0.00204,-0.00442
166.7125,-45.875,-0.00302,-0.00112,-0.00456
166.75,-45.875,-0.00310,-0.00020,-0.00468
166.7875,-45.875,-0.00340,0.00122,-0.00480
166.825,-45.875,-0.00368,0.00264,-0.00492
166.8625,-45.875,-0.00398,0.00406,-0.00506
166.9,-45.875,-0.00428,0.00548,-0.00518
166.9375,-45.875,-0.00492,0.00706,-0.00526
166.975,-45.875,-0.00554,0.00864,-0.00532
167.0125,-45.875,-0.00618,0.01024,-0.00538
167.05,-45.875,-0.00682,0.01182,-0.00546
167.0875,-45.875,-0.00770,0.01312,-0.00542
167.125,-45.875,-0.00858,0.01442,-0.00538
167.1625,-45.875,-0.00946,0.01572,-0.00536
167.2,-45.875,-0.01034,0.01702,-0.00532
167.2375,-45.875,-0.01122,0.01774,-0.00518
167.275,-45.875,-0.01212,0.01848,-0.00506
167.3125,-45.875,-0.01300,0.01920,-0.00492
167.35,-45.875,-0.01390,0.01994,-0.00478
167.3875,-45.875,-0.01458,0.02010,-0.00458
167.425,-45.875,-0.01526,0.02026,-0.00436
167.4625,-45.875,-0.01594,0.02044,-0.00416
167.5,-45.875,-0.01662,0.02060,-0.00394
167.5375,-45.875,-0.01700,0.02034,-0.00372
167.575,-45.875,-0.01738,0.02008,-0.00348
167.6125,-45.875,-0.01776,0.01982,-0.00326
167.65,-45.875,-0.01814,0.01956,-0.00302
167.6875,-45.875,-0.01824,0.01908,-0.00280
167.725,-45.875,-0.01832,0.01860,-0.00260
167.7625,-45.875,-0.01842,0.01810,-0.00238
167.8,-45.875,-0.01852,0.01762,-0.00216
167.8375,-45.875,-0.01840,0.01704,-0.00198
167.875,-45.875,-0.01828,0.01648,-0.00180
167.9125,-45.875,-0.01816,0.01590,-0.00160
167.95,-45.875,-0.01804,0.01532,-0.00142
166.225,-45.84375,-0.00210,-0.00526,-0.00290
166.2625,-45.84375,-0.00226,-0.00556,-0.00312
166.3,-45.84375,-0.00240,-0.00586,-0.00332
166.3375,-45.84375,-0.00258,-0.00598,-0.00342
166.375,-45.84375,-0.00274,-0.00612,-0.00352
166.4125,-45.84375,-0.00290,-0.00624,-0.00362
166.45,-45.84375,-0.00306,-0.00636,-0.00372
166.4875,-45.84375,-0.00310,-0.00604,-0.00384
166.525,-45.84375,-0.00316,-0.00572,-0.00396
166.5625,-45.84375,-0.00320,-0.00540,-0.00408
166.6,-45.84375,-0.00324,-0.00508,-0.00418
166.6375,-45.84375,-0.00328,-0.00408,-0.00436
166.675,-45.84375,-0.00332,-0.00306,-0.00452
166.7125,-45.84375,-0.00338,-0.00206,-0.00468
166.75,-45.84375,-0.00342,-0.00104,-0.00484
166.7875,-45.84375,-0.00372,0.00064,-0.00504
166.825,-45.84375,-0.00402,0.00232,-0.00522
166.8625,-45.84375,-0.00434,0.00400,-0.00542
166.9,-45.84375,-0.00460,0.00568,-0.00560
166.9375,-45.84375,-0.00530,0.00756,-0.00574
166.975,-45.84375,-0.00602,0.00944,-0.00588
167.0125,-45.84375,-0.00678,0.01132,-0.00600
167.05,-45.84375,-0.00754,0.01320,-0.00614
167.0875,-45.84375,-0.00858,0.01472,-0.00612
167.125,-45.84375,-0.00962,0.01622,-0.00612
167.1625,-45.84375,-0.01070,0.01772,-0.00612
167.2,-45.84375,-0.01178,0.01922,-0.00614
167.2375,-45.84375,-0.01284,0.01996,-0.00600
167.275,-45.84375,-0.01386,0.02072,-0.00584
167.3125,-45.84375,-0.01488,0.02148,-0.00568
167.35,-45.84375,-0.01590,0.02224,-0.00554
167.3875,-45.84375,-0.01662,0.02232,-0.00528
167.425,-45.84375,-0.01736,0.02240,-0.00504
167.4625,-45.84375,-0.01808,0.02248,-0.00478
167.5,-45.84375,-0.01880,0.02254,-0.00454
167.5375,-45.84375,-0.01916,0.02216,-0.00426
167.575,-45.84375,-0.01950,0.02178,-0.00398
167.6125,-45.84375,-0.01986,0.02140,-0.00372
167.65,-45.84375,-0.02020,0.02102,-0.00344
167.6875,-45.84375,-0.02024,0.02042,-0.00318
167.725,-45.84375,-0.02026,0.01982,-0.00294
167.7625,-45.84375,-0.02028,0.01920,-0.00268
167.8,-45.84375,-0.02030,0.01860,-0.00244
167.8375,-45.84375,-0.02010,0.01794,-0.00222
167.875,-45.84375,-0.01990,0.01728,-0.00202
167.9125,-45.84375,-0.01970,0.01662,-0.00180
167.95,-45.84375,-0.01950,0.01594,-0.00160
166.225,-45.8125,-0.00248,-0.00574,-0.00266
166.2625,-45.8125,-0.00260,-0.00612,-0.00298
166.3,-45.8125,-0.00270,-0.00650,-0.00330
166.3375,-45.8125,-0.00290,-0.00672,-0.00340
166.375,-45.8125,-0.00310,-0.00694,-0.00350
166.4125,-45.8125,-0.00330,-0.00716,-0.00360
166.45,-45.8125,-0.00350,-0.00736,-0.00368
166.4875,-45.8125,-0.00356,-0.00710,-0.00382
166.525,-45.8125,-0.00360,-0.00684,-0.00394
166.5625,-45.8125,-0.00364,-0.00656,-0.00408
166.6,-45.8125,-0.00368,-0.00630,-0.00420
166.6375,-45.8125,-0.00370,-0.00518,-0.00440
166.675,-45.8125,-0.00368,-0.00418,-0.00460
166.7125,-45.8125,-0.00370,-0.00308,-0.00478
166.75,-45.8125,-0.00370,-0.00196,-0.00500
166.7875,-45.8125,-0.00398,-0.00004,-0.00526
166.825,-45.8125,-0.00428,0.00190,-0.00552
166.8625,-45.8125,-0.00460,0.00388,-0.00578
166.9,-45.8125,-0.00490,0.00586,-0.00604
166.9375,-45.8125,-0.00568,0.00806,-0.00624
166.975,-45.8125,-0.00648,0.01024,-0.00644
167.0125,-45.8125,-0.00736,0.01240,-0.00662
167.05,-45.8125,-0.00826,0.01454,-0.00678
167.0875,-45.8125,-0.00946,0.01632,-0.00682
167.125,-45.8125,-0.01066,0.01804,-0.00686
167.1625,-45.8125,-0.01190,0.01972,-0.00688
167.2,-45.8125,-0.01322,0.02144,-0.00694
167.2375,-45.8125,-0.01444,0.02228,-0.00680
167.275,-45.8125,-0.01564,0.02308,-0.00664
167.3125,-45.8125,-0.01678,0.02384,-0.00648
167.35,-45.8125,-0.01790,0.02454,-0.00630
167.3875,-45.8125,-0.01868,0.02454,-0.00600
167.425,-45.8125,-0.01944,0.02452,-0.00572
167.4625,-45.8125,-0.02022,0.02452,-0.00542
167.5,-45.8125,-0.02098,0.02450,-0.00514
167.5375,-45.8125,-0.02132,0.02400,-0.00482
167.575,-45.8125,-0.02164,0.02348,-0.00450
167.6125,-45.8125,-0.02196,0.02298,-0.00418
167.65,-45.8125,-0.02228,0.02248,-0.00386
167.6875,-45.8125,-0.02224,0.02176,-0.00356
167.725,-45.8125,-0.02218,0.02104,-0.00328
167.7625,-45.8125,-0.02214,0.02032,-0.00300
167.8,-45.8125,-0.02210,0.01960,-0.00272
167.8375,-45.8125,-0.02180,0.01884,-0.00248
167.875,-45.8125,-0.02152,0.01808,-0.00224
167.9125,-45.8125,-0.02124,0.01732,-0.00200
167.95,-45.8125,-0.02096,0.01658,-0.00178
166.225,-45.78125,-0.00286,-0.00622,-0.00242
166.2625,-45.78125,-0.00292,-0.00668,-0.00286
166.3,-45.78125,-0.00298,-0.00716,-0.00330
166.3375,-45.78125,-0.00324,-0.00746,-0.00338
166.375,-45.78125,-0.00348,-0.00778,-0.00348
166.4125,-45.78125,-0.00372,-0.00808,-0.00358
166.45,-45.78125,-0.00396,-0.00838,-0.00366
166.4875,-45.78125,-0.00400,-0.00816,-0.00380
166.525,-45.78125,-0.00404,-0.00794,-0.00394
166.5625,-45.78125,-0.00402,-0.00766,-0.00412
166.6,-45.78125,-0.00404,-0.00746,-0.00428
166.6375,-45.78125,-0.00402,-0.00638,-0.00448
166.675,-45.78125,-0.00404,-0.00538,-0.00466
166.7125,-45.78125,-0.00402,-0.00416,-0.00490
166.75,-45.78125,-0.00400,-0.00286,-0.00514
166.7875,-45.78125,-0.00424,-0.00072,-0.00548
166.825,-45.78125,-0.00454,0.00146,-0.00580
166.8625,-45.78125,-0.00488,0.00374,-0.00614
166.9,-45.78125,-0.00530,0.00612,-0.00644
166.9375,-45.78125,-0.00600,0.00858,-0.00674
166.975,-45.78125,-0.00688,0.01104,-0.00700
167.0125,-45.78125,-0.00790,0.01346,-0.00722
167.05,-45.78125,-0.00906,0.01578,-0.00740
167.0875,-45.78125,-0.01032,0.01794,-0.00754
167.125,-45.78125,-0.01166,0.01992,-0.00760
167.1625,-45.78125,-0.01302,0.02164,-0.00762
167.2,-45.78125,-0.01468,0.02364,-0.00776
167.2375,-45.78125,-0.01610,0.02462,-0.00764
167.275,-45.78125,-0.01744,0.02550,-0.00746
167.3125,-45.78125,-0.01868,0.02624,-0.00726
167.35,-45.78125,-0.01984,0.02688,-0.00700
167.3875,-45.78125,-0.02064,0.02674,-0.00666
167.425,-45.78125,-0.02154,0.02664,-0.00638
167.4625,-45.78125,-0.02236,0.02654,-0.00606
167.5,-45.78125,-0.02318,0.02646,-0.00572
167.5375,-45.78125,-0.02346,0.02582,-0.00536
167.575,-45.78125,-0.02376,0.02518,-0.00500
167.6125,-45.78125,-0.02406,0.02456,-0.00464
167.65,-45.78125,-0.02434,0.02392,-0.00426
167.6875,-45.78125,-0.02424,0.02308,-0.00394
167.725,-45.78125,-0.02412,0.02226,-0.00362
167.7625,-45.78125,-0.02400,0.02142,-0.00330
167.8,-45.78125,-0.02388,0.02058,-0.00298
167.8375,-45.78125,-0.02352,0.01974,-0.00272
167.875,-45.78125,-0.02314,0.01888,-0.00246
167.9125,-45.78125,-0.02278,0.01804,-0.00220
167.95,-45.78125,-0.02242,0.01720,-0.00194
166.225,-45.75,-0.00324,-0.00668,-0.00218
166.2625,-45.75,-0.00326,-0.00724,-0.00274
166.3,-45.75,-0.00328,-0.00780,-0.00328
166.3375,-45.75,-0.00356,-0.00820,-0.00338
166.375,-45.75,-0.00384,-0.00860,-0.00346
166.4125,-45.75,-0.00412,-0.00900,-0.00354
166.45,-45.75,-0.00440,-0.00940,-0.00364
166.4875,-45.75,-0.00444,-0.00922,-0.00378
166.525,-45.75,-0.00440,-0.00896,-0.00402
166.5625,-45.75,-0.00436,-0.00870,-0.00422
166.6,-45.75,-0.00434,-0.00850,-0.00438
166.6375,-45.75,-0.00432,-0.00752,-0.00458
166.675,-45.75,-0.00440,-0.00678,-0.00468
166.7125,-45.75,-0.00436,-0.00534,-0.00498
166.75,-45.75,-0.00436,-0.00356,-0.00532
166.7875,-45.75,-0.00446,-0.00148,-0.00570
166.825,-45.75,-0.00470,0.00090,-0.00610
166.8625,-45.75,-0.00512,0.00350,-0.00652
166.9,-45.75,-0.00572,0.00626,-0.00694
166.9375,-45.75,-0.00652,0.00912,-0.00734
166.975,-45.75,-0.00752,0.01200,-0.00772
167.0125,-45.75,-0.00872,0.01482,-0.00804
167.05,-45.75,-0.01006,0.01750,-0.00830
167.0875,-45.75,-0.01154,0.01998,-0.00850
167.125,-45.75,-0.01308,0.02222,-0.00862
167.1625,-45.75,-0.01468,0.02416,-0.00866
167.2,-45.75,-0.01628,0.02578,-0.00862
167.2375,-45.75,-0.01784,0.02708,-0.00850
167.275,-45.75,-0.01932,0.02806,-0.00834
167.3125,-45.75,-0.02068,0.02874,-0.00810
167.35,-45.75,-0.02166,0.02912,-0.00768
167.3875,-45.75,-0.02250,0.02890,-0.00728
167.425,-45.75,-0.02344,0.02874,-0.00694
167.4625,-45.75,-0.02440,0.02858,-0.00662
167.5,-45.75,-0.02536,0.02840,-0.00632
167.5375,-45.75,-0.02562,0.02764,-0.00592
167.575,-45.75,-0.02588,0.02690,-0.00550
167.6125,-45.75,-0.02616,0.02614,-0.00510
167.65,-45.75,-0.02642,0.02538,-0.00468
167.6875,-45.75,-0.02624,0.02442,-0.00432
167.725,-45.75,-0.02604,0.02348,-0.00398
167.7625,-45.75,-0.02586,0.02252,-0.00362
167.8,-45.75,-0.02566,0.02156,-0.00326
167.8375,-45.75,-0.02522,0.02062,-0.00298
167.875,-45.75,-0.02478,0.01970,-0.00270
167.9125,-45.75,-0.02432,0.01876,-0.00240
167.95,-45.75,-0.02388,0.01782,-0.00212
166.225,-45.71875,-0.00386,-0.00730,-0.00172
166.2625,-45.71875,-0.00380,-0.00796,-0.00240
166.3,-45.71875,-0.00374,-0.00860,-0.00310
166.3375,-45.71875,-0.00416,-0.00922,-0.00314
166.375,-45.71875,-0.00456,-0.00984,-0.00318
166.4125,-45.71875,-0.00498,-0.01044,-0.00322
166.45,-45.71875,-0.00534,-0.01104,-0.00330
166.4875,-45.71875,-0.00538,-0.01106,-0.00346
166.525,-45.71875,-0.00538,-0.01102,-0.00364
166.5625,-45.71875,-0.00536,-0.01088,-0.00382
166.6,-45.71875,-0.00532,-0.01060,-0.00400
166.6375,-45.71875,-0.00520,-0.00980,-0.00424
166.675,-45.71875,-0.00506,-0.00864,-0.00454
166.7125,-45.71875,-0.00494,-0.00708,-0.00490
166.75,-45.71875,-0.00486,-0.00510,-0.00532
166.7875,-45.71875,-0.00492,-0.00272,-0.00580
166.825,-45.71875,-0.00512,0.00002,-0.00632
166.8625,-45.71875,-0.00554,0.00304,-0.00688
166.9,-45.71875,-0.00620,0.00630,-0.00746
166.9375,-45.71875,-0.00710,0.00966,-0.00802
166.975,-45.71875,-0.00826,0.01304,-0.00852
167.0125,-45.71875,-0.00966,0.01634,-0.00898
167.05,-45.71875,-0.01124,0.01946,-0.00936
167.0875,-45.71875,-0.01296,0.02232,-0.00966
167.125,-45.71875,-0.01480,0.02486,-0.00984
167.1625,-45.71875,-0.01666,0.02704,-0.00992
167.2,-45.71875,-0.01850,0.02882,-0.00990
167.2375,-45.71875,-0.02028,0.03020,-0.00978
167.275,-45.71875,-0.02194,0.03120,-0.00958
167.3125,-45.71875,-0.02348,0.03184,-0.00930
167.35,-45.71875,-0.02482,0.03214,-0.00896
167.3875,-45.71875,-0.02594,0.03202,-0.00856
167.425,-45.71875,-0.02694,0.03174,-0.00814
167.4625,-45.71875,-0.02796,0.03138,-0.00776
167.5,-45.71875,-0.02892,0.03096,-0.00736
167.5375,-45.71875,-0.02914,0.02998,-0.00692
167.575,-45.71875,-0.02928,0.02898,-0.00640
167.6125,-45.71875,-0.02940,0.02800,-0.00590
167.65,-45.71875,-0.02952,0.02700,-0.00540
167.6875,-45.71875,-0.02916,0.02586,-0.00496
167.725,-45.71875,-0.02880,0.02474,-0.00454
167.7625,-45.71875,-0.02844,0.02360,-0.00412
167.8,-45.71875,-0.02808,0.02248,-0.00368
167.8375,-45.71875,-0.02748,0.02142,-0.00336
167.875,-45.71875,-0.02688,0.02038,-0.00304
167.9125,-45.71875,-0.02628,0.01932,-0.00270
167.95,-45.71875,-0.02570,0.01828,-0.00238
166.225,-45.6875,-0.00448,-0.00792,-0.00124
166.2625,-45.6875,-0.00434,-0.00866,-0.00208
166.3,-45.6875,-0.00422,-0.00940,-0.00290
166.3375,-45.6875,-0.00476,-0.01024,-0.00290
166.375,-45.6875,-0.00530,-0.01106,-0.00290
166.4125,-45.6875,-0.00580,-0.01188,-0.00292
166.45,-45.6875,-0.00630,-0.01270,-0.00298
166.4875,-45.6875,-0.00636,-0.01296,-0.00312
166.525,-45.6875,-0.00638,-0.01316,-0.00330
166.5625,-45.6875,-0.00640,-0.01320,-0.00342
166.6,-45.6875,-0.00630,-0.01288,-0.00360
166.6375,-45.6875,-0.00614,-0.01216,-0.00386
166.675,-45.6875,-0.00590,-0.01098,-0.00420
166.7125,-45.6875,-0.00568,-0.00930,-0.00462
166.75,-45.6875,-0.00550,-0.00710,-0.00514
166.7875,-45.6875,-0.00546,-0.00438,-0.00576
166.825,-45.6875,-0.00562,-0.00122,-0.00646
166.8625,-45.6875,-0.00604,0.00234,-0.00722
166.9,-45.6875,-0.00674,0.00618,-0.00798
166.9375,-45.6875,-0.00776,0.01018,-0.00876
166.975,-45.6875,-0.00912,0.01418,-0.00948
167.0125,-45.6875,-0.01076,0.01808,-0.01012
167.05,-45.6875,-0.01262,0.02172,-0.01066
167.0875,-45.6875,-0.01468,0.02504,-0.01106
167.125,-45.6875,-0.01684,0.02794,-0.01134
167.1625,-45.6875,-0.01902,0.03036,-0.01148
167.2,-45.6875,-0.02116,0.03230,-0.01148
167.2375,-45.6875,-0.02320,0.03376,-0.01134
167.275,-45.6875,-0.02508,0.03474,-0.01110
167.3125,-45.6875,-0.02676,0.03530,-0.01076
167.35,-45.6875,-0.02824,0.03548,-0.01034
167.3875,-45.6875,-0.02946,0.03530,-0.00984
167.425,-45.6875,-0.03046,0.03484,-0.00932
167.4625,-45.6875,-0.03154,0.03422,-0.00888
167.5,-45.6875,-0.03252,0.03354,-0.00840
167.5375,-45.6875,-0.03260,0.03232,-0.00786
167.575,-45.6875,-0.03266,0.03108,-0.00732
167.6125,-45.6875,-0.03264,0.02984,-0.00670
167.65,-45.6875,-0.03264,0.02862,-0.00610
167.6875,-45.6875,-0.03210,0.02732,-0.00560
167.725,-45.6875,-0.03158,0.02600,-0.00510
167.7625,-45.6875,-0.03104,0.02470,-0.00460
167.8,-45.6875,-0.03052,0.02340,-0.00412
167.8375,-45.6875,-0.02976,0.02222,-0.00374
167.875,-45.6875,-0.02900,0.02106,-0.00338
167.9125,-45.6875,-0.02826,0.01990,-0.00300
167.95,-45.6875,-0.02750,0.01874,-0.00264
166.225,-45.65625,-0.00508,-0.00854,-0.00078
166.2625,-45.65625,-0.00488,-0.00938,-0.00176
166.3,-45.65625,-0.00468,-0.01020,-0.00272
166.3375,-45.65625,-0.00534,-0.01124,-0.00266
166.375,-45.65625,-0.00598,-0.01228,-0.00266
166.4125,-45.65625,-0.00662,-0.01332,-0.00264
166.45,-45.65625,-0.00728,-0.01438,-0.00260
166.4875,-45.65625,-0.00740,-0.01490,-0.00272
166.525,-45.65625,-0.00762,-0.01548,-0.00274
166.5625,-45.65625,-0.00768,-0.01576,-0.00280
166.6,-45.65625,-0.00758,-0.01566,-0.00296
166.6375,-45.65625,-0.00736,-0.01508,-0.00320
166.675,-45.65625,-0.00702,-0.01394,-0.00356
