lon,lat,du
173.51640625,-42.24609375,0.11586
173.51875,-42.24609375,0.11804
173.52109375,-42.24609375,0.12019
173.5234375,-42.24609375,0.12227
173.52578125,-42.24609375,0.12436
173.528125,-42.24609375,0.12642
173.53046875,-42.24609375,0.12843
173.5328125,-42.24609375,0.13039
173.53515625,-42.24609375,0.13231
173.5375,-42.24609375,0.13419
173.53984375,-42.24609375,0.13609
173.5421875,-42.24609375,0.13798
173.54453125,-42.24609375,0.13986
173.546875,-42.24609375,0.14176
173.54921875,-42.24609375,0.14368
173.5515625,-42.24609375,0.14564
173.55390625,-42.24609375,0.14765
173.55625,-42.24609375,0.14973
173.55859375,-42.24609375,0.15189
173.5609375,-42.24609375,0.15416
173.56328125,-42.24609375,0.15656
173.565625,-42.24609375,0.1591
173.56796875,-42.24609375,0.1618
173.5703125,-42.24609375,0.16468
173.57265625,-42.24609375,0.16776
173.575,-42.24609375,0.17105
173.57734375,-42.24609375,0.17456
173.5796875,-42.24609375,0.17831
173.58203125,-42.24609375,0.1823
173.584375,-42.24609375,0.18654
173.58671875,-42.24609375,0.19103
173.5890625,-42.24609375,0.19576
173.59140625,-42.24609375,0.20075
173.59375,-42.24609375,0.20598
173.59609375,-42.24609375,0.21144
173.5984375,-42.24609375,0.21709
173.60078125,-42.24609375,0.22289
173.603125,-42.24609375,0.22877
173.60546875,-42.24609375,0.23466
173.6078125,-42.24609375,0.2405
173.61015625,-42.24609375,0.24625
173.6125,-42.24609375,0.25193
173.61484375,-42.24609375,0.25764
173.6171875,-42.24609375,0.26353
173.61953125,-42.24609375,0.26981
173.621875,-42.24609375,0.27664
173.62421875,-42.24609375,0.28401
173.6265625,-42.24609375,0.29159
173.62890625,-42.24609375,0.29874
173.63125,-42.24609375,0.30467
173.63359375,-42.24609375,0.30855
173.6359375,-42.24609375,0.30962
173.63828125,-42.24609375,0.30703
173.640625,-42.24609375,0.29943
173.64296875,-42.24609375,0.28535
173.6453125,-42.24609375,0.2725
173.64765625,-42.24609375,0.31339
173.65,-42.24609375,0.38111
173.65234375,-42.24609375,0.41199
173.6546875,-42.24609375,0.42925
173.65703125,-42.24609375,0.44231
173.659375,-42.24609375,0.4532
173.66171875,-42.24609375,0.46192
173.6640625,-42.24609375,0.46793
173.66640625,-42.24609375,0.4709
173.66875,-42.24609375,0.4712
173.67109375,-42.24609375,0.46956
173.6734375,-42.24609375,0.46662
173.67578125,-42.24609375,0.4627
173.678125,-42.24609375,0.45798
173.68046875,-42.24609375,0.45254
173.6828125,-42.24609375,0.44649
173.68515625,-42.24609375,0.43992
173.6875,-42.24609375,0.43292
173.68984375,-42.24609375,0.42558
173.6921875,-42.24609375,0.41795
173.69453125,-42.24609375,0.41011
173.696875,-42.24609375,0.40212
173.69921875,-42.24609375,0.39402
173.7015625,-42.24609375,0.38584
173.70390625,-42.24609375,0.37756
173.70625,-42.24609375,0.36946
173.70859375,-42.24609375,0.36167
173.7109375,-42.24609375,0.35389
173.71328125,-42.24609375,0.34611
173.715625,-42.24609375,0.33833
173.71796875,-42.24609375,0.33148
173.7203125,-42.24609375,0.32467
173.72265625,-42.24609375,0.31803
173.725,-42.24609375,0.31172
173.72734375,-42.24609375,0.30575
173.7296875,-42.24609375,0.30005
173.73203125,-42.24609375,0.29474
173.734375,-42.24609375,0.28989
173.73671875,-42.24609375,0.2856
173.7390625,-42.24609375,0.28189
173.74140625,-42.24609375,0.27881
173.74375,-42.24609375,0.27639
173.74609375,-42.24609375,0.27464
173.7484375,-42.24609375,0.27351
173.75078125,-42.24609375,0.27294
173.753125,-42.24609375,0.27287
173.75546875,-42.24609375,0.27316
173.51640625,-42.244140625,0.10556
173.51875,-42.244140625,0.10779
173.52109375,-42.244140625,0.10995
173.5234375,-42.244140625,0.11204
173.52578125,-42.244140625,0.1141
173.528125,-42.244140625,0.11612
173.53046875,-42.244140625,0.1181
173.5328125,-42.244140625,0.12003
173.53515625,-42.244140625,0.12196
173.5375,-42.244140625,0.12386
173.53984375,-42.244140625,0.12573
173.5421875,-42.244140625,0.12759
173.54453125,-42.244140625,0.12944
173.546875,-42.244140625,0.1313
173.54921875,-42.244140625,0.13317
173.5515625,-42.244140625,0.13507
173.55390625,-42.244140625,0.13702
173.55625,-42.244140625,0.13902
173.55859375,-42.244140625,0.14108
173.5609375,-42.244140625,0.14324
173.56328125,-42.244140625,0.14549
173.565625,-42.244140625,0.14787
173.56796875,-42.244140625,0.15037
173.5703125,-42.244140625,0.15302
173.57265625,-42.244140625,0.15583
173.575,-42.244140625,0.15881
173.57734375,-42.244140625,0.16197
173.5796875,-42.244140625,0.16532
173.58203125,-42.244140625,0.16885
173.584375,-42.244140625,0.17258
173.58671875,-42.244140625,0.1765
173.5890625,-42.244140625,0.18062
173.59140625,-42.244140625,0.18492
173.59375,-42.244140625,0.1894
173.59609375,-42.244140625,0.19402
173.5984375,-42.244140625,0.19876
173.60078125,-42.244140625,0.20358
173.603125,-42.244140625,0.20842
173.60546875,-42.244140625,0.21324
173.6078125,-42.244140625,0.218
173.61015625,-42.244140625,0.22271
173.6125,-42.244140625,0.2274
173.61484375,-42.244140625,0.23215
173.6171875,-42.244140625,0.23705
173.61953125,-42.244140625,0.24217
173.621875,-42.244140625,0.2475
173.62421875,-42.244140625,0.25286
173.6265625,-42.244140625,0.25787
173.62890625,-42.244140625,0.26195
173.63125,-42.244140625,0.26446
173.63359375,-42.244140625,0.26475
173.6359375,-42.244140625,0.26228
173.63828125,-42.244140625,0.2568
173.640625,-42.244140625,0.24912
