lon,lat,du
173.040625,-42.662109375,-0.26002
173.04296875,-42.662109375,-0.25945
173.0453125,-42.662109375,-0.25887
173.04765625,-42.662109375,-0.2583
173.05,-42.662109375,-0.25773
173.05234375,-42.662109375,-0.25652
173.0546875,-42.662109375,-0.25531
173.05703125,-42.662109375,-0.25411
173.059375,-42.662109375,-0.2529
173.06171875,-42.662109375,-0.25143
173.0640625,-42.662109375,-0.24996
173.06640625,-42.662109375,-0.24849
173.06875,-42.662109375,-0.24702
173.07109375,-42.662109375,-0.24557
173.0734375,-42.662109375,-0.24411
173.07578125,-42.662109375,-0.24266
173.078125,-42.662109375,-0.24121
173.08046875,-42.662109375,-0.23997
173.0828125,-42.662109375,-0.23874
173.08515625,-42.662109375,-0.2375
173.0875,-42.662109375,-0.23626
173.08984375,-42.662109375,-0.23536
173.0921875,-42.662109375,-0.23446
173.09453125,-42.662109375,-0.23356
173.096875,-42.662109375,-0.23266
173.09921875,-42.662109375,-0.23214
173.1015625,-42.662109375,-0.23163
173.10390625,-42.662109375,-0.23111
173.10625,-42.662109375,-0.2306
173.10859375,-42.662109375,-0.23047
173.1109375,-42.662109375,-0.23035
173.11328125,-42.662109375,-0.23022
173.115625,-42.662109375,-0.23009
173.11796875,-42.662109375,-0.23031
173.1203125,-42.662109375,-0.23052
173.12265625,-42.662109375,-0.23074
173.125,-42.662109375,-0.23095
173.12734375,-42.662109375,-0.23144
173.1296875,-42.662109375,-0.23193
173.13203125,-42.662109375,-0.23242
173.134375,-42.662109375,-0.23291
173.13671875,-42.662109375,-0.2336
173.1390625,-42.662109375,-0.23428
173.14140625,-42.662109375,-0.23496
173.14375,-42.662109375,-0.23564
173.14609375,-42.662109375,-0.23643
173.1484375,-42.662109375,-0.23722
173.15078125,-42.662109375,-0.23802
173.153125,-42.662109375,-0.23881
173.15546875,-42.662109375,-0.23963
173.1578125,-42.662109375,-0.24045
173.16015625,-42.662109375,-0.24127
173.1625,-42.662109375,-0.24209
173.16484375,-42.662109375,-0.24287
173.1671875,-42.662109375,-0.24365
173.16953125,-42.662109375,-0.24443
173.171875,-42.662109375,-0.24521
173.17421875,-42.662109375,-0.2459
173.1765625,-42.662109375,-0.24658
173.17890625,-42.662109375,-0.24726
173.18125,-42.662109375,-0.24795
173.18359375,-42.662109375,-0.24849
173.1859375,-42.662109375,-0.24903
173.18828125,-42.662109375,-0.24957
173.190625,-42.662109375,-0.25011
173.19296875,-42.662109375,-0.25048
173.1953125,-42.662109375,-0.25085
173.19765625,-42.662109375,-0.25122
173.2,-42.662109375,-0.25159
173.20234375,-42.662109375,-0.25176
173.2046875,-42.662109375,-0.25194
173.20703125,-42.662109375,-0.25212
173.209375,-42.662109375,-0.25229
173.21171875,-42.662109375,-0.25227
173.2140625,-42.662109375,-0.25224
173.21640625,-42.662109375,-0.25222
173.21875,-42.662109375,-0.2522
173.22109375,-42.662109375,-0.25197
173.2234375,-42.662109375,-0.25175
173.22578125,-42.662109375,-0.25152
173.228125,-42.662109375,-0.2513
173.23046875,-42.662109375,-0.25088
173.2328125,-42.662109375,-0.25047
173.23515625,-42.662109375,-0.25005
173.2375,-42.662109375,-0.24964
173.23984375,-42.662109375,-0.24905
173.2421875,-42.662109375,-0.24846
173.24453125,-42.662109375,-0.24787
173.246875,-42.662109375,-0.24729
173.24921875,-42.662109375,-0.24655
173.2515625,-42.662109375,-0.24581
173.25390625,-42.662109375,-0.24507
173.25625,-42.662109375,-0.24433
173.25859375,-42.662109375,-0.24346
173.2609375,-42.662109375,-0.2426
173.26328125,-42.662109375,-0.24174
173.265625,-42.662109375,-0.24087
173.26796875,-42.662109375,-0.23992
173.2703125,-42.662109375,-0.23896
173.27265625,-42.662109375,-0.238
173.275,-42.662109375,-0.23705
173.27734375,-42.662109375,-0.23603
173.2796875,-42.662109375,-0.23502
173.28203125,-42.662109375,-0.234
173.284375,-42.662109375,-0.23298
173.040625,-42.66015625,-0.26379
173.04296875,-42.66015625,-0.26303
173.0453125,-42.66015625,-0.26227
173.04765625,-42.66015625,-0.26151
173.05,-42.66015625,-0.26075
173.05234375,-42.66015625,-0.25934
173.0546875,-42.66015625,-0.25794
173.05703125,-42.66015625,-0.25653
173.059375,-42.66015625,-0.25512
173.06171875,-42.66015625,-0.25347
173.0640625,-42.66015625,-0.25183
173.06640625,-42.66015625,-0.25018
173.06875,-42.66015625,-0.24853
173.07109375,-42.66015625,-0.24695
173.0734375,-42.66015625,-0.24536
173.07578125,-42.66015625,-0.24378
173.078125,-42.66015625,-0.24219
173.08046875,-42.66015625,-0.24088
173.0828125,-42.66015625,-0.23956
173.08515625,-42.66015625,-0.23825
173.0875,-42.66015625,-0.23693
173.08984375,-42.66015625,-0.236
173.0921875,-42.66015625,-0.23507
173.09453125,-42.66015625,-0.23415
173.096875,-42.66015625,-0.23322
173.09921875,-42.66015625,-0.23273
173.1015625,-42.66015625,-0.23224
173.10390625,-42.66015625,-0.23175
173.10625,-42.66015625,-0.23126
173.10859375,-42.66015625,-0.2312
173.1109375,-42.66015625,-0.23114
173.11328125,-42.66015625,-0.23109
173.115625,-42.66015625,-0.23103
173.11796875,-42.66015625,-0.23134
173.1203125,-42.66015625,-0.23166
173.12265625,-42.66015625,-0.23197
173.125,-42.66015625,-0.23229
173.12734375,-42.66015625,-0.2329
173.1296875,-42.66015625,-0.23351
173.13203125,-42.66015625,-0.23412
173.134375,-42.66015625,-0.23473
173.13671875,-42.66015625,-0.23555
173.1390625,-42.66015625,-0.23636
173.14140625,-42.66015625,-0.23718
173.14375,-42.66015625,-0.23799
173.14609375,-42.66015625,-0.23891
173.1484375,-42.66015625,-0.23984
173.15078125,-42.66015625,-0.24076
173.153125,-42.66015625,-0.24168
173.15546875,-42.66015625,-0.24263
173.1578125,-42.66015625,-0.24357
173.16015625,-42.66015625,-0.24452
173.1625,-42.66015625,-0.24546
173.16484375,-42.66015625,-0.24636
173.1671875,-42.66015625,-0.24725
173.16953125,-42.66015625,-0.24814
173.171875,-42.66015625,-0.24903
173.17421875,-42.66015625,-0.24981
173.1765625,-42.66015625,-0.25059
173.17890625,-42.66015625,-0.25137
173.18125,-42.66015625,-0.25215
173.18359375,-42.66015625,-0.25276
173.1859375,-42.66015625,-0.25338
173.18828125,-42.66015625,-0.254
173.190625,-42.66015625,-0.25462
173.19296875,-42.66015625,-0.25504
173.1953125,-42.66015625,-0.25547
173.19765625,-42.66015625,-0.25589
173.2,-42.66015625,-0.25632
173.20234375,-42.66015625,-0.25654
173.2046875,-42.66015625,-0.25675
173.20703125,-42.66015625,-0.25696
173.209375,-42.66015625,-0.25718
173.21171875,-42.66015625,-0.25717
173.2140625,-42.66015625,-0.25717
173.21640625,-42.66015625,-0.25717
173.21875,-42.66015625,-0.25716
173.22109375,-42.66015625,-0.25694
173.2234375,-42.66015625,-0.25672
173.22578125,-42.66015625,-0.2565
173.228125,-42.66015625,-0.25628
173.23046875,-42.66015625,-0.25585
173.2328125,-42.66015625,-0.25542
173.23515625,-42.66015625,-0.255
173.2375,-42.66015625,-0.25457
173.23984375,-42.66015625,-0.25395
173.2421875,-42.66015625,-0.25334
173.24453125,-42.66015625,-0.25272
