lon,lat,de,dn,du
172,-44.0625,-0.00062,-0.00166,-0.00062
172.0375,-44.0625,-0.00074,-0.00186,-0.00070
172.075,-44.0625,-0.00086,-0.00206,-0.00076
172.1125,-44.0625,-0.00098,-0.00226,-0.00084
172.15,-44.0625,-0.00108,-0.00244,-0.00090
172.1875,-44.0625,-0.00120,-0.00270,-0.00098
172.225,-44.0625,-0.00132,-0.00296,-0.00104
172.2625,-44.0625,-0.00144,-0.00320,-0.00112
172.3,-44.0625,-0.00156,-0.00346,-0.00118
172.3375,-44.0625,-0.00164,-0.00370,-0.00124
172.375,-44.0625,-0.00172,-0.00394,-0.00128
172.4125,-44.0625,-0.00178,-0.00418,-0.00134
172.45,-44.0625,-0.00186,-0.00442,-0.00140
172.4875,-44.0625,-0.00184,-0.00444,-0.00138
172.525,-44.0625,-0.00180,-0.00446,-0.00138
172.5625,-44.0625,-0.00178,-0.00448,-0.00136
172.6,-44.0625,-0.00176,-0.00450,-0.00136
172.6375,-44.0625,-0.00172,-0.00414,-0.00124
172.675,-44.0625,-0.00166,-0.00380,-0.00114
172.7125,-44.0625,-0.00164,-0.00344,-0.00102
172.75,-44.0625,-0.00160,-0.00308,-0.00092
172.7875,-44.0625,-0.00166,-0.00256,-0.00076
172.825,-44.0625,-0.00172,-0.00204,-0.00062
172.8625,-44.0625,-0.00178,-0.00152,-0.00046
172.9,-44.0625,-0.00184,-0.00100,-0.00032
172.9375,-44.0625,-0.00194,-0.00062,-0.00018
172.975,-44.0625,-0.00206,-0.00024,-0.00006
173.0125,-44.0625,-0.00216,0.00014,0.00008
173.05,-44.0625,-0.00228,0.00050,0.00020
173.0875,-44.0625,-0.00238,0.00064,0.00026
173.125,-44.0625,-0.00246,0.00078,0.00032
173.1625,-44.0625,-0.00256,0.00092,0.00038
173.2,-44.0625,-0.00264,0.00104,0.00044
173.2375,-44.0625,-0.00258,0.00104,0.00046
173.275,-44.0625,-0.00252,0.00104,0.00046
173.3125,-44.0625,-0.00244,0.00104,0.00048
173.35,-44.0625,-0.00238,0.00104,0.00048
173.3875,-44.0625,-0.00222,0.00098,0.00046
172,-44.03125,-0.00058,-0.00170,-0.00062
172.0375,-44.03125,-0.00072,-0.00190,-0.00070
172.075,-44.03125,-0.00086,-0.00212,-0.00078
172.1125,-44.03125,-0.00100,-0.00234,-0.00086
172.15,-44.03125,-0.00112,-0.00256,-0.00094
172.1875,-44.03125,-0.00126,-0.00286,-0.00102
172.225,-44.03125,-0.00142,-0.00316,-0.00110
172.2625,-44.03125,-0.00156,-0.00346,-0.00120
172.3,-44.03125,-0.00170,-0.00376,-0.00128
172.3375,-44.03125,-0.00180,-0.00404,-0.00134
172.375,-44.03125,-0.00188,-0.00434,-0.00142
172.4125,-44.03125,-0.00196,-0.00464,-0.00148
172.45,-44.03125,-0.00204,-0.00494,-0.00154
172.4875,-44.03125,-0.00200,-0.00498,-0.00154
172.525,-44.03125,-0.00196,-0.00500,-0.00154
172.5625,-44.03125,-0.00192,-0.00504,-0.00152
172.6,-44.03125,-0.00188,-0.00508,-0.00152
172.6375,-44.03125,-0.00182,-0.00466,-0.00140
172.675,-44.03125,-0.00172,-0.00424,-0.00128
172.7125,-44.03125,-0.00166,-0.00380,-0.00116
172.75,-44.03125,-0.00160,-0.00338,-0.00102
172.7875,-44.03125,-0.00166,-0.00278,-0.00084
172.825,-44.03125,-0.00174,-0.00218,-0.00068
172.8625,-44.03125,-0.00182,-0.00158,-0.00050
172.9,-44.03125,-0.00194,-0.00098,-0.00032
172.9375,-44.03125,-0.00208,-0.00056,-0.00018
172.975,-44.03125,-0.00222,-0.00014,-0.00002
173.0125,-44.03125,-0.00234,0.00028,0.00012
173.05,-44.03125,-0.00248,0.00072,0.00026
173.0875,-44.03125,-0.00260,0.00084,0.00032
173.125,-44.03125,-0.00272,0.00098,0.00040
173.1625,-44.03125,-0.00282,0.00112,0.00046
173.2,-44.03125,-0.00294,0.00126,0.00054
173.2375,-44.03125,-0.00286,0.00124,0.00054
173.275,-44.03125,-0.00280,0.00122,0.00054
173.3125,-44.03125,-0.00272,0.00122,0.00056
173.35,-44.03125,-0.00264,0.00120,0.00056
173.3875,-44.03125,-0.00244,0.00112,0.00052
172,-44,-0.00056,-0.00172,-0.00062
172.0375,-44,-0.00070,-0.00196,-0.00070
172.075,-44,-0.00086,-0.00218,-0.00078
172.1125,-44,-0.00100,-0.00242,-0.00088
172.15,-44,-0.00116,-0.00266,-0.00096
172.1875,-44,-0.00132,-0.00300,-0.00106
172.225,-44,-0.00150,-0.00334,-0.00116
172.2625,-44,-0.00166,-0.00370,-0.00128
172.3,-44,-0.00184,-0.00404,-0.00138
172.3375,-44,-0.00194,-0.00438,-0.00146
172.375,-44,-0.00204,-0.00474,-0.00154
172.4125,-44,-0.00214,-0.00508,-0.00162
172.45,-44,-0.00224,-0.00544,-0.00170
172.4875,-44,-0.00218,-0.00550,-0.00170
172.525,-44,-0.00210,-0.00550,-0.00170
172.5625,-44,-0.00202,-0.00552,-0.00170
172.6,-44,-0.00194,-0.00554,-0.00168
172.6375,-44,-0.00186,-0.00510,-0.00156
172.675,-44,-0.00176,-0.00466,-0.00142
172.7125,-44,-0.00168,-0.00418,-0.00128
172.75,-44,-0.00162,-0.00368,-0.00112
172.7875,-44,-0.00168,-0.00300,-0.00092
172.825,-44,-0.00174,-0.00232,-0.00074
172.8625,-44,-0.00184,-0.00166,-0.00054
172.9,-44,-0.00196,-0.00100,-0.00034
172.9375,-44,-0.00212,-0.00052,-0.00016
172.975,-44,-0.00232,-0.00002,0.00000
173.0125,-44,-0.00252,0.00044,0.00016
173.05,-44,-0.00268,0.00092,0.00032
173.0875,-44,-0.00282,0.00106,0.00040
173.125,-44,-0.00296,0.00118,0.00046
173.1625,-44,-0.00310,0.00132,0.00054
173.2,-44,-0.00324,0.00146,0.00062
173.2375,-44,-0.00316,0.00144,0.00062
173.275,-44,-0.00308,0.00142,0.00062
173.3125,-44,-0.00298,0.00138,0.00064
173.35,-44,-0.00290,0.00136,0.00064
173.3875,-44,-0.00268,0.00126,0.00060
172,-43.96875,-0.00040,-0.00168,-0.00058
172.0375,-43.96875,-0.00058,-0.00194,-0.00066
172.075,-43.96875,-0.00074,-0.00218,-0.00076
172.1125,-43.96875,-0.00090,-0.00244,-0.00084
172.15,-43.96875,-0.00108,-0.00268,-0.00094
172.1875,-43.96875,-0.00130,-0.00310,-0.00106
172.225,-43.96875,-0.00152,-0.00350,-0.00118
172.2625,-43.96875,-0.00176,-0.00392,-0.00130
172.3,-43.96875,-0.00198,-0.00432,-0.00142
172.3375,-43.96875,-0.00216,-0.00482,-0.00154
172.375,-43.96875,-0.00234,-0.00534,-0.00166
172.4125,-43.96875,-0.00252,-0.00584,-0.00176
172.45,-43.96875,-0.00270,-0.00636,-0.00188
172.4875,-43.96875,-0.00264,-0.00652,-0.00190
172.525,-43.96875,-0.00258,-0.00666,-0.00192
172.5625,-43.96875,-0.00248,-0.00674,-0.00192
172.6,-43.96875,-0.00236,-0.00682,-0.00192
172.6375,-43.96875,-0.00222,-0.00632,-0.00176
172.675,-43.96875,-0.00208,-0.00580,-0.00162
172.7125,-43.96875,-0.00200,-0.00514,-0.00144
172.75,-43.96875,-0.00196,-0.00434,-0.00122
172.7875,-43.96875,-0.00198,-0.00346,-0.00100
172.825,-43.96875,-0.00208,-0.00256,-0.00076
172.8625,-43.96875,-0.00224,-0.00168,-0.00050
172.9,-43.96875,-0.00240,-0.00078,-0.00026
172.9375,-43.96875,-0.00262,-0.00020,-0.00008
172.975,-43.96875,-0.00286,0.00038,0.00012
173.0125,-43.96875,-0.00310,0.00092,0.00030
173.05,-43.96875,-0.00334,0.00144,0.00048
173.0875,-43.96875,-0.00348,0.00152,0.00056
173.125,-43.96875,-0.00356,0.00162,0.00062
173.1625,-43.96875,-0.00366,0.00174,0.00070
173.2,-43.96875,-0.00376,0.00184,0.00076
173.2375,-43.96875,-0.00364,0.00178,0.00076
173.275,-43.96875,-0.00352,0.00172,0.00076
173.3125,-43.96875,-0.00340,0.00166,0.00076
173.35,-43.96875,-0.00328,0.00160,0.00076
173.3875,-43.96875,-0.00302,0.00146,0.00070
172,-43.9375,-0.00024,-0.00164,-0.00052
172.0375,-43.9375,-0.00044,-0.00192,-0.00062
172.075,-43.9375,-0.00062,-0.00218,-0.00072
172.1125,-43.9375,-0.00080,-0.00244,-0.00082
172.15,-43.9375,-0.00098,-0.00270,-0.00092
172.1875,-43.9375,-0.00128,-0.00318,-0.00106
172.225,-43.9375,-0.00156,-0.00366,-0.00120
172.2625,-43.9375,-0.00184,-0.00412,-0.00134
172.3,-43.9375,-0.00212,-0.00460,-0.00148
172.3375,-43.9375,-0.00240,-0.00524,-0.00162
172.375,-43.9375,-0.00266,-0.00592,-0.00178
172.4125,-43.9375,-0.00294,-0.00658,-0.00192
172.45,-43.9375,-0.00318,-0.00726,-0.00206
172.4875,-43.9375,-0.00312,-0.00758,-0.00212
172.525,-43.9375,-0.00306,-0.00786,-0.00214
172.5625,-43.9375,-0.00292,-0.00798,-0.00216
172.6,-43.9375,-0.00276,-0.00788,-0.00210
172.6375,-43.9375,-0.00258,-0.00752,-0.00198
172.675,-43.9375,-0.00242,-0.00688,-0.00180
172.7125,-43.9375,-0.00230,-0.00604,-0.00158
172.75,-43.9375,-0.00226,-0.00500,-0.00134
172.7875,-43.9375,-0.00230,-0.00390,-0.00106
172.825,-43.9375,-0.00242,-0.00276,-0.00078
172.8625,-43.9375,-0.00262,-0.00168,-0.00048
172.9,-43.9375,-0.00286,-0.00070,-0.00022
172.9375,-43.9375,-0.00312,0.00014,0.00004
